Tlei_v1.17230-RA	OG0012072	Description=WD repeat-containing protein RUP2	Aco010278	circadian_metabolism_Wai2017, 00_#W_CircadianOscillator_WD_repeat-containing_protein_RUP2
Tlei_v1.19389-RA	OG0000267	Description=pyrophosphate-energized vacuolar membrane proton pump-like	Aco008167	circadian_metabolism_Wai2017, 00_#W_ProtonPump_AVP1
Tlei_v1.28319-RA	OG0000267	Description=Pyrophosphate-energized vacuolar membrane proton pump	Aco008167	circadian_metabolism_Wai2017, 00_#W_ProtonPump_AVP1
Tlei_v1.00431-RA	OG0000267	Description=pyrophosphate-energized vacuolar membrane proton pump	Aco008167	circadian_metabolism_Wai2017, 00_#W_ProtonPump_AVP1
Tlei_v1.19541-RA	OG0001012	Description=Digalactosyldiacylglycerol synthase 1, chloroplastic	Aco017688	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.20919-RA	OG0001012	Description=Digalactosyldiacylglycerol synthase 1, chloroplastic	Aco017688	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.20976-RA	OG0001011	Description=pyruvate kinase 1, cytosolic	Aco019065	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.19443-RA	OG0001011	Description=pyruvate kinase 1, cytosolic	Aco019065	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.30702-RA	OG0005847	Description=probable 2-oxoglutarate-dependent dioxygenase ANS	Aco000319	glucogenesis_glycolysis, 11_Glycolysis_night_C4_malate_pathway
Tlei_v1.30085-RA	OG0006837	Description=B3 domain-containing protein Os07g0679700	Aco001637	stomata_func, 01d_Auxin_reponse_factor
Tlei_v1.19820-RA	OG0007434	Description=diacylglycerol kinase 2	Aco003425	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.06880-RA	OG0009787	Description=Gibberellin 2-beta-dioxygenase	Aco010030	glucogenesis_glycolysis, 11_Glycolysis_night_C4_malate_pathway
Tlei_v1.25423-RA	OG0008796	Description=NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial	Aco005947	Diff_expressed_CAMC3
Tlei_v1.14685-RA	OG0012396	Description=probable galacturonosyltransferase 3	Aco011837	Diff_expressed_CAMC3
Tlei_v1.14686-RA	OG0012397	Description=probable serine/threonine-protein kinase PBL21	Aco011838	Diff_expressed_CAMC3
Tlei_v1.12467-RA	OG0010864	Description=ABC transporter B family member 13-like	Aco008863	circadian_metabolism_Wai2017, 00_#W_StomatalMovement_ATP-binding_cassette_B14
Tlei_v1.07016-RA	OG0009029	Description=S-type anion channel SLAH2-like isoform X1	Aco010756	glucogenesis_glycolysis, 11_Glycolysis_night_C4_malate_pathway
Tlei_v1.26407-RA	OG0010135	Description=transcription factor TCP20	Aco006659	gene_families_CAMC3
Tlei_v1.21705-RA	OG0007972	Description=aquaporin TIP2-1	Aco004430	aquaporin_reg, 02_Aquaporins
Tlei_v1.29605-RA	OG0015046	Description=RNA demethylase ALKBH10B	Aco023369	Diff_expressed_CAMC3
Tlei_v1.17264-RA	OG0012093	Description=Myb-related protein Myb4	Aco010312	draught_res, 06_Drough_resistance_genes_LEA
Tlei_v1.17267-RA	OG0012095	Description=NDR1/HIN1-like protein 6	Aco010315	draught_res, 06_Drough_resistance_genes_LEA
Tlei_v1.31530-RA	OG0009497	Description=protein ECERIFERUM 3-like	Aco008234	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.31510-RA	OG0009506	Description=(DL)-glycerol-3-phosphatase 2	Aco008257	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.23633-RA	OG0011460	Description=catalytic/ hydrolase	Aco009484	Diff_expressed_CAMC3
Tlei_v1.25573-RA	OG0008881	Description=replication stress response regulator SDE2	Aco006096	Diff_expressed_CAMC3, pos_selection_CAM_shifts
Tlei_v1.05164-RA	OG0007891	Description=cation/calcium exchanger 1-like	Aco004290	stomata_func, 01b_Abscisic_acid_signal
Tlei_v1.00552-RA	OG0012976	Description=ribulose bisphosphate carboxylase/oxygenase activase, chloroplastic isoform X1	Aco020506	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.24402-RA	OG0008185	Description=glycerol-3-phosphate acyltransferase 1	Aco005354	pos_selection_CAM_shifts, glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.01273-RA	OG0006324	Description=chlorophyll a-b binding protein CP24 10A, chloroplastic	Aco001181	malateTransferase_Assimilation_Carbohydrates, 05_Chloroplasts_activity
Tlei_v1.27194-RA	OG0012662	Description=proline dehydrogenase 1, mitochondrial-like	Aco012041	pos_selection_CAM_shifts
Tlei_v1.27187-RA	OG0012663	Description=putative glycerol-3-phosphate transporter 1	Aco012049	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.01918-RA	OG0003320	Description=lipase class 3-like protein	Aco019096	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.01842-RA	OG0003117	Description=probable glycerol-3-phosphate acyltransferase 3	Aco002572	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.23398-RA	OG0015177	Description=Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family	Aco018452	draught_res, 06_Drough_resistance_genes_LEA
Tlei_v1.15589-RA	OG0013136	Description=protein ECERIFERUM 1-like	Aco014581	Diff_expressed_CAMC3
Tlei_v1.15591-RA	OG0013132	Description=cyanate hydratase	Aco014579	malateTransferase_Assimilation_Carbohydrates
Tlei_v1.01878-RA	OG0006669	Description=calvin cycle protein CP12-1, chloroplastic-like	Aco002546	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.01891-RA	OG0006661	Description=putative DNA replication regulator dpb11	Aco002531	glucogenesis_glycolysis
Tlei_v1.08312-RA	OG0003522	Description=short chain dehydrogenase	Aco005042	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.31349-RA	OG0003528	Description=nuclear transcription factor Y subunit A-7 isoform X1	Aco005083	Diff_expressed_CAMC3
Tlei_v1.21674-RA	OG0007954	Description=mitochondrial arginine transporter BAC2	Aco004398	Diff_expressed_CAMC3
Tlei_v1.21682-RA	OG0007953	Description=Late embryogenesis abundant protein	Aco004406	draught_res, 06_Drough_resistance_genes_LEA
Tlei_v1.12628-RA	OG0017150	Description=Protein neuralized	Aco008992	pos_selection_CAM_shifts
Tlei_v1.21459-RA	OG0015034	Description=1-aminocyclopropane-1-carboxylate oxidase 1	Aco015240	glucogenesis_glycolysis, 11_Glycolysis_night_C4_malate_pathway
Tlei_v1.20772-RA	OG0009399	Description=probable sucrose-phosphate synthase 4	Aco007975	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.20773-RA	OG0009396	Description=Auxin response factor 7	Aco007973	stomata_func, 01d_Auxin_reponse_factor
Tlei_v1.18476-RA	OG0010353	Description=Protein GLUTAMINE DUMPER 4	Aco007509	Diff_expressed_CAMC3
Tlei_v1.26879-RA	OG0013807	Description=impaired sucrose induction	Aco015589	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.30367-RA	OG0006055	Description=Sn1-specific diacylglycerol lipase alpha	Aco000666	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.02341-RA	OG0002972	Description=jacalin-related lectin 3-like	Aco000736	Diff_expressed_CAMC3
Tlei_v1.02052-RA	OG0006583	Description=probable calcium-binding protein CML10	Aco002366	Diff_expressed_CAMC3
Tlei_v1.23607-RA	OG0011960	Description=Glucose-6-phosphate 1-dehydrogenase, chloroplastic	Aco012435	pos_selection_CAM_shifts, glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.08075-RA	OG0011965	Description=probable CDP-diacylglycerol--inositol 3-phosphatidyltransferase 2 isoform X1	Aco024368	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.31586-RA	OG0000193	Description=Plasma membrane ATPase 4	Aco008192	circadian_metabolism_Wai2017, 00_#W_StomatalMovement_AHA2
Tlei_v1.16674-RA	OG0000193	Description=plasma membrane ATPase-like	Aco008192	circadian_metabolism_Wai2017, 00_#W_StomatalMovement_AHA2
Tlei_v1.08032-RA	OG0000193	Description=plasma membrane ATPase 1	Aco008192	circadian_metabolism_Wai2017, 00_#W_StomatalMovement_AHA2
Tlei_v1.02300-RA	OG0000193	Description=plasma membrane ATPase 3	Aco008192	circadian_metabolism_Wai2017, 00_#W_StomatalMovement_AHA2
Tlei_v1.14521-RA	OG0000193	Description=plasma membrane ATPase 1	Aco008192	circadian_metabolism_Wai2017, 00_#W_StomatalMovement_AHA2
Tlei_v1.13979-RA	OG0000193	Description=plasma membrane ATPase	Aco008192	circadian_metabolism_Wai2017, 00_#W_StomatalMovement_AHA2
Tlei_v1.28419-RA	OG0000193	Description=plasma membrane ATPase	Aco008192	circadian_metabolism_Wai2017, 00_#W_StomatalMovement_AHA2
Tlei_v1.00138-RA	OG0001586	Description=diacylglycerol kinase 7-like	Aco012114	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.14309-RA	OG0001586	Description=diacylglycerol kinase 7-like	Aco012114	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.00407-RA	OG0001583	Description=probable monogalactosyldiacylglycerol synthase 3, chloroplastic	Aco025855	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.14213-RA	OG0001583	Description=probable monogalactosyldiacylglycerol synthase 3, chloroplastic	Aco025855	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.30775-RA	OG0004560	Description=magnesium/proton exchanger 1-like isoform X1	Aco021330	stomata_func, 01b_Abscisic_acid_signal
Tlei_v1.26845-RA	OG0004698	Description=probable aquaporin NIP5-1	Aco024440	aquaporin_reg, 02_Aquaporins
Tlei_v1.29142-RA	OG0002590	Description=SPX domain-containing membrane protein Os06g0129400-like isoform X1	Aco015555	Diff_expressed_CAMC3, pos_selection_CAM_shifts
Tlei_v1.05525-RA	OG0003346	Description=diacylglycerol kinase theta-like	Aco003937	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.25645-RA	OG0008925	Description=photosystem I assembly factor PSA3, chloroplastic	Aco006172	pos_selection_CAM_shifts
Tlei_v1.11333-RA	OG0010825	Description=2-oxoisovalerate dehydrogenase subunit beta 1, mitochondrial-like	Aco008784	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.11363-RA	OG0010829	Description=Folate-biopterin transporter 1, chloroplastic	Aco008802	pos_selection_CAM_shifts
Tlei_v1.28316-RA	OG0010032	Description=probable monogalactosyldiacylglycerol synthase 2, chloroplastic	Aco006436	pos_selection_CAM_shifts, glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.30527-RA	OG0001260	Description=tropinone reductase homolog At5g06060-like	Aco003326	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.20961-RA	OG0009287	Description=neutral/alkaline invertase 3, chloroplastic	Aco007782	pos_selection_CAM_shifts
Tlei_v1.20963-RA	OG0009285	Description=RING-H2 finger protein ATL38-like	Aco007777	Diff_expressed_CAMC3
Tlei_v1.26475-RA	OG0010179	Description=Lecithin:cholesterol acyltransferase	Aco006733	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.02842-RA	OG0011269	Description=probable prolyl 4-hydroxylase 4	Aco014931	glucogenesis_glycolysis, 11_Glycolysis_night_C4_malate_pathway
Tlei_v1.00270-RA	OG0012426	Description=sugar transport protein 7	Aco016897	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.23758-RA	OG0002368	Description=cyclic dof factor 2	Aco009612	circadian_metabolism_Wai2017, 00_#W_CircadianOscillator_cycling_DOF_F1
Tlei_v1.23663-RA	OG0002365	Description=protein SENESCENCE-ASSOCIATED GENE 21, mitochondrial-like	Aco023812	draught_res, 06_Drough_resistance_genes_LEA
Tlei_v1.06879-RA	OG0009788	Description=arogenate dehydrogenase 2, chloroplastic-like	Aco010028	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.22715-RA	OG0012143	Description=protein decapping 5-like	Aco012715	Diff_expressed_CAMC3
Tlei_v1.20990-RA	OG0015647	Description=predicted protein	Aco020123	Diff_expressed_CAMC3
Tlei_v1.19543-RA	OG0015111	Description=Aluminum-activated malate transporter 1	Aco016774	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.22175-RA	OG0014662	Description=Acyl-coenzyme A thioesterase 13	Aco019362	pos_selection_CAM_shifts
Tlei_v1.23585-RA	OG0011947	Description=glycerophosphodiester phosphodiesterase GDPD6	Aco012412	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.30519-RA	OG0002950	Description=NAD-dependent epimerase/dehydratase	Aco000509	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.05237-RA	OG0007852	Description=photosynthetic NDH subunit of subcomplex B 5, chloroplastic	Aco004218	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.19808-RA	OG0007427	Description=F-box/kelch-repeat protein	Aco003414	Diff_expressed_CAMC3
Tlei_v1.05947-RA	OG0014892	Description=1-acyl-sn-glycerol-3-phosphate acyltransferase PLS1	Aco020738	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.00200-RA	OG0012449	Description=phospholipase D alpha 1-like	Aco016943	Diff_expressed_CAMC3
Tlei_v1.30102-RA	OG0006817	Description=Peroxidase 68	Aco001618	Diff_expressed_CAMC3
Tlei_v1.02805-RA	OG0013317	Description=pyruvate, phosphate dikinase, chloroplastic	Aco024818	CAM-related_Acomosus_Ming2015, glucogenesis_glycolysis, 00_#10_Glucogenesis_specific_dayC3
Tlei_v1.27011-RA	OG0013312	Description=Phosphoenolpyruvate carboxykinase (ATP)	Aco012946	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.31318-RA	OG0014800	Description=Glycerol-3-phosphate 2-O-acyltransferase 6	Aco015377	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.30745-RA	OG0000941	Description=probable ethylene response sensor 1	Aco002499	circadian_metabolism_Wai2017, 00_#W_StomatalMovement_ethylene_insensitive1
Tlei_v1.01919-RA	OG0000941	Description=probable ethylene response sensor 1	Aco002499	circadian_metabolism_Wai2017, 00_#W_StomatalMovement_ethylene_insensitive1
Tlei_v1.27894-RA	OG0000947	Description=ribulose bisphosphate carboxylase/oxygenase activase, chloroplastic-like	Aco021598	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.30287-RA	OG0000947	Description=ribulose bisphosphate carboxylase/oxygenase activase, chloroplastic-like	Aco021598	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.28478-RA	OG0010120	Description=Succinate-semialdehyde dehydrogenase, mitochondrial	Aco006586	glucogenesis_glycolysis, 11_Glycolysis_night_C4_malate_pathway
Tlei_v1.11332-RA	OG0015444	Description=NADPH-dependent aldehyde reductase-like protein, chloroplastic	Aco017128	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.26434-RA	OG0010152	Description=phosphoenolpyruvate/phosphate translocator 1, chloroplastic	Aco006692	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.16061-RA	OG0012949	Description=NAD(P)H-quinone oxidoreductase subunit O, chloroplastic	Aco013584	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.01945-RA	OG0006625	Description=Late embryogenesis abundant protein Lea5	Aco002475	draught_res, 06_Drough_resistance_genes_LEA
Tlei_v1.08280-RA	OG0008609	Description=ferredoxin--NADP reductase, root isozyme, chloroplastic	Aco005078	Diff_expressed_CAMC3
Tlei_v1.08298-RA	OG0008601	Description=PREDICTED: uncharacterized protein LOC103982234	Aco005055	Diff_expressed_CAMC3
Tlei_v1.27469-RA	OG0013783	Description=Guard cell S-type anion channel SLAC1	Aco015541	circadian_metabolism_Wai2017, 00_#W_StomatalMovement_Carbon_dioxide_insensitive3_CDI3_11_Glycolysis_night_C4_malate_pathway
Tlei_v1.21350-RA	OG0014926	Description=2-alkenal reductase (NADP(+)-dependent)	Aco014274	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.31163-RA	OG0009114	Description=internal alternative NAD(P)H-ubiquinone oxidoreductase A2, mitochondrial-like	Aco007054	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.23661-RA	OG0011478	Description=ethylene-responsive transcription factor 1-like	Aco009511	pos_selection_CAM_shifts
Tlei_v1.15644-RA	OG0001548	Description=malate dehydrogenase	Aco013935	CAM-related_Acomosus_Ming2015, 00_##19_Malate_dehydrogenase
Tlei_v1.03837-RA	OG0001548	Description=malate dehydrogenase	Aco013935	CAM-related_Acomosus_Ming2015, 00_##19_Malate_dehydrogenase
Tlei_v1.20657-RA	OG0009456	Description=transcription factor GTE9 isoform X1	Aco008105	Diff_expressed_CAMC3
Tlei_v1.14549-RA	OG0012310	Description=aquaporin TIP2-3	Aco011705	aquaporin_reg, 02_Aquaporins
Tlei_v1.14546-RA	OG0012313	no_blast-ips	Aco011700	Diff_expressed_CAMC3
Tlei_v1.26696-RA	OG0013375	Description=mitochondrial intermembrane space import and assembly protein 40 homolog	Aco016360	pos_selection_CAM_shifts
Tlei_v1.15322-RA	OG0000964	Description=monooxygenase 2	Aco003188	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.17163-RA	OG0003927	Description=2'-deoxymugineic-acid 2'-dioxygenase	Aco010215	glucogenesis_glycolysis, 11_Glycolysis_night_C4_malate_pathway
Tlei_v1.31824-RA	OG0013199	Description=glucose-1-phosphate adenylyltransferase small subunit 2, chloroplastic	Aco023139	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.05092-RA	OG0011316	Description=auxin response factor 17	Aco011198	stomata_func, 01d_Auxin_reponse_factor
Tlei_v1.02021-RA	OG0006600	Description=SAC3 family protein C	Aco002400	Diff_expressed_CAMC3
Tlei_v1.08300-RA	OG0008599	Description=uncharacterized oxidoreductase At1g06690, chloroplastic	Aco005054	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.08245-RA	OG0008626	Description=Pyruvate dehydrogenase E1 component subunit beta-3, chloroplastic	Aco005109	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.08258-RA	OG0008620	Description=probable inositol transporter 2	Aco005101	Diff_expressed_CAMC3
Tlei_v1.12587-RA	OG0000779	Description=Aquaporin PIP2-4	Aco013954	aquaporin_reg, 02_Aquaporins
Tlei_v1.03818-RA	OG0000779	Description=aquaporin PIP2-4	Aco013954	aquaporin_reg, 02_Aquaporins
Tlei_v1.29086-RA	OG0010613	Description=OSJNBa0013K16.15-like protein	Aco009385	Diff_expressed_CAMC3
Tlei_v1.16896-RA	OG0014558	Description=Photosynthetic NDH subunit of lumenal location 2, chloroplastic	Aco014682	malateTransferase_Assimilation_Carbohydrates, 04_Oxygen_evolving_enhancer_OEE
Tlei_v1.30396-RA	OG0006036	Description=Cinnamoyl-CoA reductase 1	Aco000637	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.15840-RA	OG0010368	Description=Aluminum-activated malate transporter 10	Aco007539	pos_selection_CAM_shifts, glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.04726-RA	OG0014865	Description=petal death protein-like isoform X1	Aco017991	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.20850-RA	OG0009360	Description=Increased DNA methylation 1	Aco007901	Diff_expressed_CAMC3
Tlei_v1.18038-RA	OG0001563	Description=enolase 1	Aco020962	pos_selection_CAM_shifts
Tlei_v1.26656-RA	OG0001563	Description=enolase 2	Aco020962	pos_selection_CAM_shifts
Tlei_v1.06473-RA	OG0000288	Description=probable histidine kinase 4	Aco013412	Diff_expressed_CAMC3, circadian_metabolism_Wai2017, 00_#W_StomatalMovement_Histidine_Kinase_HK5
Tlei_v1.01438-RA	OG0000288	Description=probable histidine kinase 4	Aco013412	Diff_expressed_CAMC3, circadian_metabolism_Wai2017, 00_#W_StomatalMovement_Histidine_Kinase_HK5
Tlei_v1.18560-RA	OG0000288	Description=probable histidine kinase 4	Aco013412	Diff_expressed_CAMC3, circadian_metabolism_Wai2017, 00_#W_StomatalMovement_Histidine_Kinase_HK5
Tlei_v1.04029-RA	OG0000288	Description=probable histidine kinase 4	Aco013412	Diff_expressed_CAMC3, circadian_metabolism_Wai2017, 00_#W_StomatalMovement_Histidine_Kinase_HK5
Tlei_v1.02623-RA	OG0000288	Description=probable histidine kinase 4	Aco013412	Diff_expressed_CAMC3, circadian_metabolism_Wai2017, 00_#W_StomatalMovement_Histidine_Kinase_HK5
Tlei_v1.15064-RA	OG0000288	Description=probable histidine kinase 4	Aco013412	Diff_expressed_CAMC3, circadian_metabolism_Wai2017, 00_#W_StomatalMovement_Histidine_Kinase_HK5
Tlei_v1.15181-RA	OG0000288	Description=probable histidine kinase 4	Aco013412	Diff_expressed_CAMC3, circadian_metabolism_Wai2017, 00_#W_StomatalMovement_Histidine_Kinase_HK5
Tlei_v1.13514-RA	OG0000288	Description=probable histidine kinase 4	Aco013412	Diff_expressed_CAMC3, circadian_metabolism_Wai2017, 00_#W_StomatalMovement_Histidine_Kinase_HK5
Tlei_v1.02849-RA	OG0000288	Description=probable histidine kinase 4	Aco013412	Diff_expressed_CAMC3, circadian_metabolism_Wai2017, 00_#W_StomatalMovement_Histidine_Kinase_HK5
Tlei_v1.07195-RA	OG0000288	Description=probable histidine kinase 4	Aco013412	Diff_expressed_CAMC3, circadian_metabolism_Wai2017, 00_#W_StomatalMovement_Histidine_Kinase_HK5
Tlei_v1.12538-RA	OG0000288	Description=probable histidine kinase 4	Aco013412	Diff_expressed_CAMC3, circadian_metabolism_Wai2017, 00_#W_StomatalMovement_Histidine_Kinase_HK5
Tlei_v1.24472-RA	OG0014114	Description=Auxin response factor 2	Aco018061	stomata_func, 01d_Auxin_reponse_factor
Tlei_v1.26701-RA	OG0004103	Description=aquaporin TIP3-1-like	Aco016357	aquaporin_reg, 02_Aquaporins
Tlei_v1.24060-RA	OG0008359	Description=probable F-box protein At4g22030	Aco005657	gene_families_CAMC3
Tlei_v1.14663-RA	OG0012373	Description=cyclin-dependent kinase inhibitor 1-like	Aco011817	Diff_expressed_CAMC3
Tlei_v1.26756-RA	OG0013353	Description=Thioredoxin M1, chloroplastic	Aco016318	gene_families_CAMC3
Tlei_v1.30622-RA	OG0000908	Description=ATP-dependent 6-phosphofructokinase 3	Aco015184	glucogenesis_glycolysis, 11_Glycolysis_night_C4_malate_pathway
Tlei_v1.21522-RA	OG0000908	Description=ATP-dependent 6-phosphofructokinase 3	Aco015184	glucogenesis_glycolysis, 11_Glycolysis_night_C4_malate_pathway
Tlei_v1.06792-RA	OG0000908	Description=ATP-dependent 6-phosphofructokinase 3	Aco015184	glucogenesis_glycolysis, 11_Glycolysis_night_C4_malate_pathway
Tlei_v1.21622-RB	OG0002059	Description=Malate dehydrogenase, mitochondrial	Aco006122	CAM-related_Acomosus_Ming2015, 00_#17_Malate_dehydrogenase
Tlei_v1.05167-RA	OG0002054	Description=probable NAD(P)H dehydrogenase (quinone) FQR1-like 2	Aco021008	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.13369-RA	OG0007048	Description=Methionine aminotransferase	Aco002677	pos_selection_CAM_shifts
Tlei_v1.19610-RA	OG0001354	Description=Long chain acyl-CoA synthetase 9, chloroplastic	Aco003218	Diff_expressed_CAMC3
Tlei_v1.16101-RA	OG0001354	Description=Long chain acyl-CoA synthetase 9, chloroplastic	Aco003218	Diff_expressed_CAMC3
Tlei_v1.20799-RA	OG0001359	Description=alcohol dehydrogenase 1	Aco003321	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.19721-RA	OG0001359	Description=alcohol dehydrogenase 1	Aco003321	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.08228-RA	OG0008640	Description=GTPase LSG1-2	Aco005127	Diff_expressed_CAMC3
Tlei_v1.29816-RA	OG0006972	Description=bidirectional sugar transporter SWEET14-like	Aco001900	Diff_expressed_CAMC3, circadian_metabolism_Wai2017, 00_#W_SucroseTransporter_SWEET11/12
Tlei_v1.07008-RA	OG0009022	Description=3-methyl-2-oxobutanoate hydroxymethyltransferase 1, mitochondrial	Aco010748	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.24540-RA	OG0001504	Description=phosphoenolpyruvate carboxylase, housekeeping isozyme	Aco018093	CAM-related_Acomosus_Ming2015, 00_#10_Glucogenesis_specific_dayC3
Tlei_v1.06877-RA	OG0001504	Description=Phosphoenolpyruvate carboxylase, housekeeping isozyme	Aco018093	CAM-related_Acomosus_Ming2015, 00_#10_Glucogenesis_specific_dayC3
Tlei_v1.14911-RA	OG0017114	Description=ACT domain-containing protein ACR8-like	Aco013826	Diff_expressed_CAMC3
Tlei_v1.07054-RA	OG0016922	Description=Dynein light chain LC6, flagellar outer arm	Aco010779	Diff_expressed_CAMC3
Tlei_v1.15697-RA	OG0010442	Description=hypothetical protein B296_00033372	Aco007678	Diff_expressed_CAMC3
Tlei_v1.28747-RA	OG0002409	Description=late embryogenesis abundant protein 1-like	Aco010160	draught_res, 06_Drough_resistance_genes_LEA
Tlei_v1.17112-RA	OG0002409	Description=late embryogenesis abundant protein 1-like	Aco010160	draught_res, 06_Drough_resistance_genes_LEA
Tlei_v1.30787-RA	OG0001699	Description=ABC transporter C family member 14-like	Aco017858	circadian_metabolism_Wai2017, 00_#W_StomatalMovement_ATP-binding_cassette_C4
Tlei_v1.10839-RA	OG0001699	Description=ABC transporter C family member 14-like	Aco017858	circadian_metabolism_Wai2017, 00_#W_StomatalMovement_ATP-binding_cassette_C4
Tlei_v1.13001-RA	OG0007222	Description=aluminum-activated malate transporter 9-like isoform X1	Aco003023	circadian_metabolism_Wai2017, 00_#W_MalateTransporter_ALMT_10_Glucogenesis_specific_dayC3
Tlei_v1.21950-RA	OG0002070	Description=acyltransferase-like protein At1g54570, chloroplastic isoform X2	Aco004638	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.27554-RA	OG0015451	Description=NAD-dependent dyhydrogenase, Gfo/Idh/MocA family	Aco017115	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.03855-RA	OG0014016	Description=Long-chain-alcohol oxidase FAO2	Aco022846	pos_selection_CAM_shifts, glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.21790-RA	OG0000325	Description=chlorophyll a-b binding protein of LHCII type 1	Aco005359	Diff_expressed_CAMC3, malateTransferase_Assimilation_Carbohydrates, 05_Chloroplasts_activity
Tlei_v1.25426-RA	OG0000325	Description=chlorophyll a-b binding protein of LHCII type 1-like	Aco005359	Diff_expressed_CAMC3, malateTransferase_Assimilation_Carbohydrates, 05_Chloroplasts_activity
Tlei_v1.24397-RA	OG0000325	Description=chlorophyll a-b binding protein of LHCII type 1	Aco005359	Diff_expressed_CAMC3, malateTransferase_Assimilation_Carbohydrates, 05_Chloroplasts_activity
Tlei_v1.21570-RA	OG0000323	Description=Aquaporin NIP1-1	Aco023062	aquaporin_reg, 02_Aquaporins
